date,open,close,high,low,volume,amount
2020-11-19,53.18,51.05,53.41,50.35,470054.0,7652210688.0
2020-11-20,52.06,55.86,56.26,51.58,707527.0,12067220480.0
2020-11-23,56.14,58.58,58.85,54.53,604027.0,10841292032.0
2020-11-24,61.1,58.57,62.17,57.41,646752.0,12193378560.0
2020-11-25,58.18,58.35,61.08,57.38,473858.0,8798105856.0
2020-11-26,58.38,55.78,58.78,54.25,496538.0,8751195136.0
2020-11-27,55.61,55.21,56.48,53.62,397476.0,6868605952.0
2020-11-30,54.34,54.56,56.09,52.51,379213.0,6493585152.0
2020-12-01,53.41,56.11,56.18,52.84,401564.0,6983133440.0
2020-12-02,54.21,53.76,54.68,53.18,492401.0,8354836224.0
2020-12-03,53.76,54.21,55.06,52.83,365581.0,6251136000.0
2020-12-04,54.38,54.46,56.78,53.98,394490.0,6888910848.0
2020-12-07,54.28,55.61,56.06,53.55,322186.0,5617848576.0
2020-12-08,56.54,56.5,57.84,56.08,445743.0,7995315200.0
2020-12-09,56.84,54.92,57.52,54.84,315714.0,5563503360.0
2020-12-10,53.18,53.68,54.4,52.52,370436.0,6243808768.0
2020-12-11,53.63,52.84,53.63,51.44,354878.0,5902635264.0
2020-12-14,52.78,53.91,54.14,51.51,302132.0,5064250880.0
2020-12-15,53.93,55.41,55.53,53.34,362218.0,6234488576.0
2020-12-16,55.84,54.47,56.08,54.14,238154.0,4110951040.0
2020-12-17,54.24,54.44,54.82,53.51,189773.0,3245175552.0
2020-12-18,54.68,55.84,57.21,54.25,488485.0,8625943296.0
2020-12-21,56.01,61.71,61.71,55.68,667798.0,12342924032.0
2020-12-22,61.5,58.51,61.5,58.4,586810.0,11044848384.0
2020-12-23,58.47,59.44,60.78,58.16,427079.0,7982526976.0
2020-12-24,58.84,58.18,58.84,57.18,260454.0,4739171584.0
2020-12-25,58.28,58.92,59.23,57.54,211331.0,3892733280.0
2020-12-28,58.61,59.82,60.63,58.04,303384.0,5674752256.0
2020-12-29,59.18,56.71,59.18,56.66,361178.0,6530622464.0
2020-12-30,57.4,59.18,61.16,57.4,510431.0,9559070976.0
2020-12-31,60.13,61.94,62.45,58.6,505119.0,9665582080.0
2021-01-04,60.18,66.1,67.56,59.54,589502.0,11803190784.0
2021-01-05,65.84,70.48,70.92,64.51,545306.0,11642247936.0
2021-01-06,70.42,69.28,71.24,67.84,434652.0,9376648704.0
2021-01-07,69.38,72.19,73.28,68.58,428603.0,9516502272.0
2021-01-08,74.84,73.01,75.28,70.74,426758.0,9705879808.0
2021-01-11,75.37,75.46,78.84,74.17,534255.0,12681067520.0
2021-01-12,74.44,76.17,77.09,70.51,433125.0,9980651776.0
2021-01-13,76.51,76.94,80.47,73.74,480348.0,11590836992.0
2021-01-14,74.51,71.83,75.66,71.29,445955.0,10176085760.0
2021-01-15,71.18,72.24,73.48,69.34,377050.0,8420560896.0
2021-01-18,70.51,71.07,71.84,69.26,263789.0,5826658816.0
2021-01-19,71.2,69.24,72.24,68.36,276250.0,6035553024.0
2021-01-20,70.48,71.18,72.61,69.85,381401.0,8483028992.0
2021-01-21,70.51,75.68,77.04,69.45,585710.0,13384594688.0
2021-01-22,75.75,78.15,78.4,74.35,423887.0,10112061184.0
2021-01-25,79.34,83.84,84.83,78.84,559389.0,14213433344.0
2021-01-26,82.84,81.92,84.71,80.84,394555.0,10115832064.0
2021-01-27,80.58,82.84,83.66,75.34,521351.0,12813495040.0
2021-01-28,79.17,78.63,81.34,78.17,326462.0,8081858816.0
2021-01-29,80.18,79.51,80.65,76.34,335983.0,8182542080.0
2021-02-01,78.84,79.47,80.55,76.84,263795.0,6500021760.0
2021-02-02,81.18,86.34,86.51,80.68,471100.0,12220620032.0
2021-02-03,86.54,84.84,88.3,83.94,384030.0,10231620608.0
2021-02-04,83.18,83.81,85.47,82.29,310351.0,8061146624.0
2021-02-05,84.51,80.18,86.6,79.68,480551.0,12356334336.0
2021-02-08,80.17,80.58,81.5,77.18,372462.0,9210843648.0
2021-02-09,81.54,82.84,83.52,79.68,374954.0,9540424192.0
2021-02-10,84.18,86.16,87.4,81.51,418939.0,10995341312.0
2021-02-18,86.8,83.51,86.8,82.29,472646.0,12353076480.0
2021-02-19,82.14,82.96,83.06,79.09,382587.0,9607262976.0
2021-02-22,82.71,77.02,82.73,76.99,427131.0,10558143232.0
2021-02-23,73.71,72.18,75.52,71.48,476510.0,10877530624.0
2021-02-24,72.18,66.84,73.37,65.04,676485.0,14532205312.0
2021-02-25,69.1,66.93,69.13,65.78,369532.0,7788184320.0
2021-02-26,62.68,62.93,65.18,61.84,503616.0,9978745856.0
2021-03-01,64.18,67.48,67.51,63.01,444294.0,9087918592.0
2021-03-02,68.73,67.64,69.11,65.58,387928.0,8178912000.0
2021-03-03,65.51,67.09,67.28,64.5,263062.0,5431739392.0
2021-03-04,65.51,63.34,65.54,62.94,346850.0,6955695360.0
2021-03-05,59.63,62.63,63.68,59.24,325319.0,6313240576.0
2021-03-08,62.63,56.09,62.95,56.09,591328.0,10922889216.0
2021-03-09,54.65,54.07,56.71,51.19,599205.0,10247665408.0
2021-03-10,57.18,56.24,57.8,55.77,431507.0,7706833408.0
