date,open,high,low,close,volume,amount,pct_chg
2025-08-11,1371.52,1400.01,1371.02,1393.02,47159,6561706.86,1.76
2025-08-12,1397.02,1413.09,1384.02,1385.06,42019,5842699.14,-0.57
2025-08-13,1373.02,1381.7,1368.02,1368.07,65528,8974709.96,-1.23
2025-08-14,1368.96,1395.53,1368.96,1375.01,48129,6625744.29,0.51
2025-08-15,1374.03,1376.68,1368.24,1370.1,47582,6518851.4,-0.36
2025-08-18,1375.01,1384.66,1371.12,1376.52,47378,6522050.56,0.47
2025-08-19,1381.52,1394.68,1380.02,1386.02,46372,6429936.72,0.69
2025-08-20,1386.02,1400.82,1378.04,1398.02,45805,6395680.1,0.87
2025-08-21,1401.47,1403.01,1391.67,1396.27,30891,4312857.57,-0.13
2025-08-22,1396.9,1412.02,1392.79,1411.97,44971,6347094.47,1.12
2025-08-25,1418.03,1444.02,1414.02,1438.35,65325,9373291.25,1.87
2025-08-26,1438.34,1442.25,1428.03,1429.63,39602,5666868.26,-0.61
2025-08-27,1429.9,1432.95,1396.02,1396.02,56006,7820925.12,-2.35
2025-08-28,1395.99,1404.12,1386.79,1394.12,39282,5476390.64,-0.14
2025-08-29,1401.02,1430.6,1400.02,1428.02,62256,8886178.56,2.43
2025-09-01,1430.22,1436.02,1413.72,1424.12,45123,6426426.36,-0.27
2025-09-02,1426.68,1457.02,1426.02,1439.32,56688,8166901.76,1.07
2025-09-03,1439.02,1451.52,1414.02,1428.57,45045,6430872.15,-0.75
2025-09-04,1420.02,1427.32,1408.49,1420.68,47747,6780962.76,-0.55
2025-09-05,1419.02,1434.99,1412.02,1431.02,37388,5348688.76,0.73
2025-09-08,1431.02,1454.46,1425.52,1449.25,51383,7442081.75,1.27
2025-09-09,1453.02,1457.97,1441.44,1453.02,35743,5190497.86,0.26
2025-09-10,1454.68,1477.97,1444.02,1470.03,49663,7288765.89,1.17
2025-09-11,1470.03,1474.04,1456.52,1471.52,37239,5475163.28,0.1
2025-09-12,1474.02,1486.04,1458.55,1464.02,33722,4940937.44,-0.51
2025-09-15,1463.89,1465.5,1449.52,1463.12,25827,3777230.24,-0.06
2025-09-16,1463.12,1469.01,1444.23,1448.0,32718,4739203.2,-1.03
2025-09-17,1448.01,1458.3,1438.03,1441.02,30331,4371438.42,-0.48
2025-09-18,1440.02,1445.82,1411.52,1415.98,49721,7045033.18,-1.74
2025-09-19,1416.01,1423.52,1405.03,1415.99,32637,4621800.57,0.0
2025-09-22,1413.11,1415.99,1398.03,1401.37,34947,4897137.39,-1.03
2025-09-23,1398.52,1405.52,1388.02,1395.44,38663,5389220.72,-0.42
2025-09-24,1382.09,1404.8,1382.09,1390.02,30744,4274289.12,-0.39
2025-09-25,1390.85,1393.23,1384.02,1387.02,33870,4698532.4,-0.22
2025-09-26,1389.2,1395.13,1376.03,1383.02,45121,6235971.02,-0.29
2025-09-29,1387.4,1418.01,1383.02,1408.88,53684,7555691.92,1.87
2025-09-30,1408.02,1408.78,1388.02,1392.01,39364,5482160.44,-1.2
2025-10-09,1384.02,1387.4,1368.02,1384.8,54918,7593452.4,-0.52
2025-10-10,1385.62,1387.96,1375.52,1378.02,36001,4962750.22,-0.49
2025-10-13,1363.72,1370.87,1363.14,1367.22,46069,6300071.58,-0.78
2025-10-14,1378.01,1412.02,1378.01,1399.04,66672,9333491.84,2.33
2025-10-15,1399.0,1411.02,1393.1,1410.02,42785,6024375.1,0.78
2025-10-16,1409.94,1432.97,1406.9,1432.93,45730,6545925.9,1.63
2025-10-17,1431.12,1436.02,1402.05,1403.02,38086,5349133.72,-2.09
2025-10-20,1403.02,1417.52,1402.9,1405.95,25950,3649689.0,0.21
2025-10-21,1407.02,1417.96,1403.52,1410.28,25443,3588742.44,0.31
2025-10-22,1410.1,1413.75,1404.02,1406.72,18195,2559459.2,-0.25
2025-10-23,1403.02,1416.82,1395.22,1416.0,29322,4147479.0,0.66
2025-10-24,1415.97,1426.9,1397.36,1398.02,38226,5345255.72,-1.27
2025-10-27,1388.02,1400.51,1384.01,1388.43,37102,5151386.86,-0.69
2025-10-28,1390.02,1399.22,1389.12,1393.02,27124,3778655.28,0.33
2025-10-29,1388.04,1394.57,1378.06,1379.92,33937,4686588.04,-0.94
2025-10-30,1369.83,1384.65,1369.83,1374.76,47456,6530982.56,-0.37
2025-10-31,1370.02,1384.0,1368.13,1378.03,35694,4916264.82,0.24
2025-11-03,1379.02,1396.02,1368.12,1383.02,34548,4778115.96,0.36
2025-11-04,1383.12,1383.8,1371.8,1377.02,26566,3658577.12,-0.43
2025-11-05,1373.91,1379.01,1368.03,1368.1,34475,4714917.5,-0.65
2025-11-06,1378.02,1389.47,1378.01,1383.15,38348,5303619.0,1.1
2025-11-07,1383.13,1387.8,1379.13,1381.35,18861,2605975.65,-0.13
2025-11-10,1383.02,1411.71,1383.0,1410.32,49452,6965400.32,2.1
2025-11-11,1410.02,1410.2,1395.02,1407.01,26692,3755033.12,-0.23
2025-11-12,1408.0,1426.38,1407.23,1413.17,32992,4663592.32,0.44
2025-11-13,1410.14,1421.6,1406.02,1418.4,31179,4421315.76,0.37
2025-11-14,1418.02,1426.97,1404.32,1404.62,27473,3861167.86,-0.97
2025-11-17,1402.02,1421.02,1393.81,1419.02,34462,4886037.38,1.03
2025-11-18,1418.72,1434.09,1417.02,1424.02,34205,4872345.85,0.35
2025-11-19,1422.02,1427.55,1417.98,1419.03,22045,3128924.85,-0.35
2025-11-20,1420.02,1427.92,1413.05,1415.13,24002,3398229.86,-0.27
2025-11-21,1418.52,1428.02,1404.02,1414.62,42607,6020213.34,-0.04
2025-11-24,1415.02,1419.02,1399.15,1400.02,33607,4708556.62,-1.03
2025-11-25,1406.02,1406.02,1392.52,1392.67,28441,3958013.47,-0.53
2025-11-26,1396.9,1401.51,1391.6,1397.17,20306,2836398.52,0.32
